ID,Country,Group,Subject,Level,Question,Context,Answer Key,Option 1,Option 2,Option 3,Option 4,Option 5,is_few_shot
5869,Palestine,Social Science,Social Science,Primary,الأشجار صغیرة في الحجم,,B,صح,خطأ,,,,0
5870,Palestine,Social Science,Social Science,Primary,ینمو البطیخ في سهول جنین,,A,صح,خطأ,,,,0
5871,Palestine,Social Science,Social Science,Primary,تشتهر جبال نابلس بأزهار عصا الراعي.,,B,صح,خطأ,,,,0
5872,Palestine,Social Science,Social Science,Primary,نحصد القمح بالحصادة,,A,صح,خطأ,,,,0
5873,Palestine,Social Science,Social Science,Primary,یغطي جسم العصفور الوبر,,B,صح,خطأ,,,,0
5874,Palestine,Social Science,Social Science,Primary,للبقرة رجلان فقط.,,B,صح,خطأ,,,,0
5875,Palestine,Social Science,Social Science,Primary,الحیوانات الداجنة تكون ألیفة.,,A,صح,خطأ,,,,0
5876,Palestine,Social Science,Social Science,Primary,الأسد حیوان مفترس.,,A,صح,خطأ,,,,0
5877,Palestine,Social Science,Social Science,Primary,النیص من الحیوانات التي تعیش في فلسطین.,,A,صح,خطأ,,,,0
5878,Palestine,Social Science,Social Science,Primary,نصنع بعض الملابس من,,B,الخشب,القطن,الازهار,,,0
5879,Palestine,Social Science,Social Science,Primary,من النباتات العلاجیة الطبیة,,A,اليانسون,القمح,البندورة,,,0
5880,Palestine,Social Science,Social Science,Primary,من الطیور الفلسطینیة,,A,الشنار,الكناري,البطريق,,,0
5881,Palestine,Social Science,Social Science,Primary,عدد أرجل الأفعى,,C,4 ارجل,5 ارجل,ليس لها ارجل,,,0
5882,Palestine,Social Science,Social Science,Primary,من الحیوانات الداجنة,,C,الاسد,الزرافة,البقرة,,,0
5883,Palestine,Social Science,Social Science,Primary,من الحیوانات التي یغطي جسمها الوبر,,B,الغزال,الجمل,الفيل,,,0
5884,Palestine,Social Science,Social Science,Primary,بلال یقتلع الأشجار لیستخدمها في التدفئة,,B,يعجبني,لا يعجبني,,,,0
5885,Palestine,Social Science,Social Science,Primary,رامي یحافظ على المزروعات و یعتني بها.,,A,يعجبني,لا يعجبني,,,,0
5886,Palestine,Social Science,Social Science,Primary,بلال یقطف أزهار الحدیقة.,,B,يعجبني,لا يعجبني,,,,0
5888,Palestine,Social Science,Social Science,Primary,علم فلسطين رمز دولة مصر,,B,صح,خطأ,,,,0
5889,Palestine,Social Science,Social Science,Primary,نتحدث ونلعب أثناء تحية العلم .,,B,صح,خطأ,,,,0
5890,Palestine,Social Science,Social Science,Primary,أعلن القائد ياسر عرفات قيام دولة فلسطين .,,A,صح,خطأ,,,,0
5891,Palestine,Social Science,Social Science,Primary,لا أشارك في فعاليات الاستقلال,,B,صح,خطأ,,,,0
5892,Palestine,Social Science,Social Science,Primary,من أحياء القدس,,C,الشيخ جراح,سلوان,كلاهما,,,0
